benchname,size,time_us
cant,2034917,3283
cant,2034917,2970
cant,2034917,2960
cant,2034917,2978
cant,2034917,2956
cant,2034917,2955
cant,2034917,2950
cant,2034917,2961
cant,2034917,2966
cant,2034917,2952
mip1,3468203,6006
mip1,3468203,5349
mip1,3468203,5213
mip1,3468203,5201
mip1,3468203,5311
mip1,3468203,5215
mip1,3468203,5258
mip1,3468203,5240
mip1,3468203,5229
mip1,3468203,5220
pdb1HYS,2190591,3204
pdb1HYS,2190591,3112
pdb1HYS,2190591,3069
pdb1HYS,2190591,3084
pdb1HYS,2190591,3090
pdb1HYS,2190591,3086
pdb1HYS,2190591,3082
pdb1HYS,2190591,3086
pdb1HYS,2190591,3095
pdb1HYS,2190591,3082
rma10,2374001,4377
rma10,2374001,3252
rma10,2374001,3289
rma10,2374001,3282
rma10,2374001,3262
rma10,2374001,3284
rma10,2374001,3265
rma10,2374001,3249
rma10,2374001,3283
rma10,2374001,3274

